"","01_Liberal politics","02_Republican politics","03_Maritime Trade and Slavery","04_Government Proceedings and Agreements","05_Human Interaction and Decision-Making","06_Educational Institutions and Knowledge Advancement","07_Literary Works and Print Publications","08_Financial Transactions and Government Budgeting","09_Diplomatic Correspondence and Government Relations","10_Military Operations and Strategic Defense","11_Business Endeavors and Personal Relationships","12_Land Ownership and Property Rights","13_Political Governance and Legislative Proceedings","14_Financial Transactions and Monetary Matters","15_Professional Appointments and Recommendations","16_Military Service and Officer Hierarchy","17_Military Logistics and Operational Supplies","18_Social Etiquette and Personal Relations","19_Government Relations and Negotiation Strategies","20_Agricultural Practices and Crop Management","21_International Relations and Diplomacy","22_Transportation and Infrastructure Development","23_Maritime Operations and Naval Affairs","24_Family Relationships and Domestic Life","25_Mail and Package Handling","26_Financial Transactions and Economic Indicators","27_Emotions and Philosophical Reflections on Life","28_French words","29_Health, Travel, and Seasonal Experiences","30_Courtesy","31_Legal Proceedings and Judicial System"
"11","independence","patriotism","regulation","dispatch","observation","state","translation","service","instruction","movement","wch","title","meet","demand","talent","recruit","arm","consideration","result","tree","king","piece","passage","love","note","purchase","affection","tout","friend","compliment","punishment"
"12","state","faction","state","resolution","affair","advantage","writer","appropriation","request","defence","trouble","deed","friend","receipt","family","soldier","direction","hope","term","field","province","boat","gun","company","direction","note","pleasure","qu’il","home","satisfaction","witness"
"13","colony","republican","nation","exchange","situation","knowledge","collection","allowance","president","numb","expence","tract","assembly","fund","duty","return","troop","liberty","claim","crop","city","build","sea","visit","account","cent","son","faire","visit","esteem","sentence"
"14","government","administration","war","opportunity","business","language","press","claim","convention","plan","end","survey","committee","creditor","candidate","commission","quarter","intention","explanation","corn","congress","company","officer","brother","opportunity","stock","child","bien","departure","son","petition"
"15","lawyer","sentiment","negro","business","confidence","education","respect","provision","order","account","return","boundary","opposition","cash","nomination","promotion","guard","desire","delay","horse","honor","air","prisoner","woman","request","tax","scene","mes","winter","desire","offence"
"16","sovereignty","enemy","advantage","draft","nature","student","memory","charge","reply","command","home","petitioner","legislature","livre","ability","state","inhabitant","approbation","motive","land","ministry","lock","arrival","wife","trouble","market","hope","comme","pleasure","goodness","proof"
"17","king","patriot","provision","agreement","respect","branch","observation","revenue","enclose","loss","numb","grant","amendment","remittance","administration","appointment","prisoner","assistance","decision","bushel","news","mile","boat","boy","cover","capital","eye","leur","account","country","prosecution"
"18","legislature","empire","colony","desire","truth","class","friend","department","passport","fleet","opportunity","county","motion","business","vacancy","numb","regiment","support","objection","spring","resolution","observation","wind","lady","quality","demand","love","dans","weather","kindness","testimony"
"19","parliament","spirit","trader","negotiation","suspicion","art","pleasure","expenditure","affair","situation","public","house","debate","obligation","merit","troop","mile","propriety","idea","farmer","house","motion","captain","pleasure","return","term","spirit","ici","mail","request","party"
"20","sense","party","government","memorialists","public","attention","newspaper","payment","arrival","attack","situation","mile","representative","balance","son","corp","state","difficulty","attention","country","state","respondent","shore","husband","arrival","tobacco","heaven","monsieur","summer","obligation","property"
"21","judge","influence","intercourse","difficulty","opportunity","fund","material","salary","duplicate","success","head","sale","delegate","cent","respect","respect","road","state","policy","winter","hope","canal","dispatch","account","package","share","virtue","vos","business","acquaintance","decision"
"22","court","policy","owner","condition","advantage","study","life","business","minister","body","difficulty","term","address","pound","station","lieutenant","respect","distress","mode","wood","negotiation","plan","master","life","board","proportion","truth","avec","prospect","happiness","crime"
"23","sovereign","conduct","sea","return","intention","age","error","contract","postscript","river","expectation","town","county","charge","integrity","captain","account","permission","difficulty","weather","commission","glass","owner","care","content","revenue","death","ses","disease","civility","prisoner"
"24","provision","danger","order","power","disposition","progress","el","warrant","honor","frontier","quarter","purchase","plan","rate","qualification","general","enemy","expectation","negotiation","quality","agent","body","account","heart","dispatch","profit","country","san","horse","gratitude","suit"
"25","form","confidence","cargo","proceeding","plan","visitor","bone","receipt","peace","reinforcement","money","road","federalist","advance","acquaintance","list","company","confidence","instruction","fall","ambassador","improvement","news","winter","price","rate","glory","mon","death","merit","honor"
